"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",116,0.24,4684,2.48
"10 a 19",80,0.16,10626,0.75
"20 a 29",603,1.23,64764,0.93
"30 a 39",2273,4.65,100472,2.26
"40 a 49",6169,12.62,99083,6.23
"50 a 59",11364,23.25,81342,13.97
"60 a 69",13376,27.37,50840,26.31
"70 a 79",9884,20.23,26489,37.31
"80 y mas",5004,10.24,11661,42.91
"Nacional",48869,99.99,449961,10.86
