"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",1237,1,1434635,86.22
"BC",6385,5.14,3634868,175.66
"BCS",793,0.64,804708,98.55
"Camp",912,0.73,1000617,91.14
"CDMX",38993,31.37,9018645,432.36
"Chih",1962,1.58,3801487,51.61
"Chis",2710,2.18,5730367,47.29
"Coah",1622,1.3,3218720,50.39
"Col",222,0.18,785153,28.27
"Dgo",674,0.54,1868996,36.06
"EdoMex",13053,10.5,17427790,74.9
"Gro",2578,2.07,3657048,70.49
"Gto",2752,2.21,6228175,44.19
"Hgo",2318,1.86,3086414,75.1
"Jal",3253,2.62,8409693,38.68
"Mich",2904,2.34,4825401,60.18
"Mor",1571,1.26,2044058,76.86
"Nay",804,0.65,1288571,62.39
"NL",2019,1.62,5610153,35.99
"Oax",2363,1.9,4143593,57.03
"Pue",4567,3.67,6604451,69.15
"Qro",1330,1.07,2279637,58.34
"QRoo",2224,1.79,1723259,129.06
"Sin",4883,3.93,3156674,154.69
"SLP",1384,1.11,2866142,48.29
"Son",3195,2.57,3074745,103.91
"Tab",5778,4.65,2572287,224.63
"Tamps",2428,1.95,3650602,66.51
"Tlax",1407,1.13,1380011,101.96
"Ver",5389,4.34,8539862,63.1
"Yuc",2193,1.76,2259098,97.07
"Zac",398,0.32,1666426,23.88
"Nacional",124301,99.98,127792286,97.27
