"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",273,0.55,4339,6.29
"BC",2695,5.42,13800,19.53
"BCS",200,0.4,4853,4.12
"Camp",541,1.09,4876,11.1
"CDMX",9181,18.47,93369,9.83
"Chih",931,1.87,5574,16.7
"Chis",933,1.88,5622,16.6
"Coah",737,1.48,14261,5.17
"Col",241,0.48,2115,11.39
"Dgo",301,0.61,4406,6.83
"EdoMex",6695,13.47,39705,16.86
"Gro",1412,2.84,11475,12.31
"Gto",1111,2.24,22554,4.93
"Hgo",1129,2.27,7094,15.91
"Jal",1655,3.33,14124,11.72
"Mich",800,1.61,10535,7.59
"Mor",854,1.72,4027,21.21
"Nay",420,0.85,3609,11.64
"NL",1292,2.6,20515,6.3
"Oax",991,1.99,11053,8.97
"Pue",2596,5.22,21701,11.96
"Qro",517,1.04,4132,12.51
"QRoo",1058,2.13,8168,12.95
"Sin",2307,4.64,13224,17.45
"SLP",592,1.19,11109,5.33
"Son",2124,4.27,18531,11.46
"Tab",2111,4.25,23454,9
"Tamps",1146,2.31,17422,6.58
"Tlax",712,1.43,4455,15.98
"Ver",2905,5.85,22131,13.13
"Yuc",957,1.93,10858,8.81
"Zac",281,0.57,3009,9.34
"Nacional",49698,100,456100,10.9
