"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",4029,1.05,21849433,18.44
"10 a 19",8661,2.25,22185367,39.04
"20 a 29",54356,14.12,21479518,253.06
"30 a 39",85942,22.32,18897970,454.77
"40 a 49",85473,22.2,16198907,527.65
"50 a 59",70067,18.2,12720337,550.83
"60 a 69",43808,11.38,8199671,534.27
"70 a 79",22774,5.91,4225668,538.94
"80 y mas",9926,2.58,2035415,487.66
"Nacional",385036,100.01,127792286,301.3
