"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",151,0.53,2396,6.3
"BC",1962,6.88,9368,20.94
"BCS",77,0.27,1563,4.93
"Camp",216,0.76,2122,10.18
"CDMX",6642,23.3,59023,11.25
"Chih",648,2.27,3115,20.8
"Chis",557,1.95,4487,12.41
"Coah",233,0.82,4958,4.7
"Col",73,0.26,591,12.35
"Dgo",147,0.52,1956,7.52
"EdoMex",4450,15.61,24741,17.99
"Gro",900,3.16,5408,16.64
"Gto",370,1.3,7785,4.75
"Hgo",679,2.38,3902,17.4
"Jal",729,2.56,6918,10.54
"Mich",466,1.63,5867,7.94
"Mor",678,2.38,2877,23.57
"Nay",208,0.73,1728,12.04
"NL",344,1.21,6275,5.48
"Oax",588,2.06,5311,11.07
"Pue",1338,4.69,10898,12.28
"Qro",293,1.03,2125,13.79
"QRoo",595,2.09,3762,15.82
"Sin",1331,4.67,8472,15.71
"SLP",157,0.55,3249,4.83
"Son",737,2.59,7683,9.59
"Tab",1078,3.78,10986,9.81
"Tamps",373,1.31,6068,6.15
"Tlax",353,1.24,2369,14.9
"Ver",1595,5.59,10324,15.45
"Yuc",443,1.55,4519,9.8
"Zac",99,0.35,924,10.71
"Nacional",28510,100.02,231770,12.3
