"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",224,0.53,3688,6.07
"BC",2445,5.83,12423,19.68
"BCS",124,0.3,3468,3.58
"Camp",406,0.97,3962,10.25
"CDMX",8529,20.35,81182,10.51
"Chih",822,1.96,4631,17.75
"Chis",851,2.03,5330,15.97
"Coah",530,1.26,10510,5.04
"Col",161,0.38,1343,11.99
"Dgo",252,0.6,3473,7.26
"EdoMex",5979,14.27,34433,17.36
"Gro",1279,3.05,9373,13.65
"Gto",814,1.94,16269,5
"Hgo",936,2.23,5754,16.27
"Jal",1340,3.2,11507,11.65
"Mich",654,1.56,8676,7.54
"Mor",800,1.91,3587,22.3
"Nay",309,0.74,2947,10.49
"NL",820,1.96,13846,5.92
"Oax",839,2,9190,9.13
"Pue",2116,5.05,18115,11.68
"Qro",440,1.05,3306,13.31
"QRoo",864,2.06,6506,13.28
"Sin",1970,4.7,11929,16.51
"SLP",354,0.84,6778,5.22
"Son",1621,3.87,15687,10.33
"Tab",1739,4.15,18886,9.21
"Tamps",814,1.94,12421,6.55
"Tlax",577,1.38,3673,15.71
"Ver",2350,5.61,17739,13.25
"Yuc",763,1.82,8008,9.53
"Zac",186,0.44,2072,8.98
"Nacional",41908,99.98,370712,11.3
