"Grupo","FrecuenciaAcum","Porcentaje","Proyeccion","TasaIncidencia"
"0 a 9","32","0.83","21849433","0.15"
"10 a 19","67","1.74","22185367","0.3"
"20 a 29","545","14.18","21479518","2.54"
"30 a 39","830","21.59","18897970","4.39"
"40 a 49","887","23.07","16198907","5.48"
"50 a 59","736","19.15","12720337","5.79"
"60 a 69","455","11.84","8199671","5.55"
"70 a 79","226","5.88","4225668","5.35"
"80 y mas","66","1.72","2035415","3.24"
"Total","3844","100","127792286","3.01"
