"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",284,0.55,4589,6.19
"BC",2765,5.32,14357,19.26
"BCS",213,0.41,5294,4.02
"Camp",600,1.15,5061,11.86
"CDMX",9365,18.01,96778,9.68
"Chih",963,1.85,5876,16.39
"Chis",945,1.82,5702,16.57
"Coah",859,1.65,15350,5.6
"Col",265,0.51,2299,11.53
"Dgo",334,0.64,4661,7.17
"EdoMex",6915,13.3,40917,16.9
"Gro",1449,2.79,11916,12.16
"Gto",1189,2.29,23901,4.97
"Hgo",1194,2.3,7589,15.73
"Jal",1754,3.37,14866,11.8
"Mich",837,1.61,11049,7.58
"Mor",872,1.68,4180,20.86
"Nay",443,0.85,3822,11.59
"NL",1427,2.74,21533,6.63
"Oax",1032,1.98,11367,9.08
"Pue",2797,5.38,22446,12.46
"Qro",541,1.04,4487,12.06
"QRoo",1105,2.12,8541,12.94
"Sin",2380,4.58,13737,17.33
"SLP",654,1.26,11888,5.5
"Son",2277,4.38,19067,11.94
"Tab",2181,4.19,24269,8.99
"Tamps",1286,2.47,17868,7.2
"Tlax",737,1.42,4598,16.03
"Ver",3017,5.8,23111,13.05
"Yuc",1013,1.95,11477,8.83
"Zac",313,0.6,3306,9.47
"Nacional",52006,100.01,475902,10.93
