"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",726,0.93,1434635,50.61
"BC",4659,5.97,3634868,128.18
"BCS",542,0.69,804708,67.35
"Camp",583,0.75,1000617,58.26
"CDMX",26137,33.5,9018645,289.81
"Chih",1358,1.74,3801487,35.72
"Chis",1362,1.75,5730367,23.77
"Coah",970,1.24,3218720,30.14
"Col",125,0.16,785153,15.92
"Dgo",272,0.35,1868996,14.55
"EdoMex",8906,11.41,17427790,51.1
"Gro",1360,1.74,3657048,37.19
"Gto",1248,1.6,6228175,20.04
"Hgo",1459,1.87,3086414,47.27
"Jal",1370,1.76,8409693,16.29
"Mich",1641,2.1,4825401,34.01
"Mor",1218,1.56,2044058,59.59
"Nay",457,0.59,1288571,35.47
"NL",1293,1.66,5610153,23.05
"Oax",1127,1.44,4143593,27.2
"Pue",2475,3.17,6604451,37.47
"Qro",835,1.07,2279637,36.63
"QRoo",1717,2.2,1723259,99.64
"Sin",2917,3.74,3156674,92.41
"SLP",794,1.02,2866142,27.7
"Son",1526,1.96,3074745,49.63
"Tab",3484,4.47,2572287,135.44
"Tamps",1373,1.76,3650602,37.61
"Tlax",953,1.22,1380011,69.06
"Ver",3281,4.21,8539862,38.42
"Yuc",1599,2.05,2259098,70.78
"Zac",256,0.33,1666426,15.36
"Nacional",78023,100.01,127792286,61.05
