"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",1845,1.05,1434635,128.6
"BC",7841,4.48,3634868,215.72
"BCS",1171,0.67,804708,145.52
"Camp",1368,0.78,1000617,136.72
"CDMX",50881,29.04,9018645,564.18
"Chih",2538,1.45,3801487,66.76
"Chis",3570,2.04,5730367,62.3
"Coah",2746,1.57,3218720,85.31
"Col",367,0.21,785153,46.74
"Dgo",1330,0.76,1868996,71.16
"EdoMex",18295,10.44,17427790,104.98
"Gro",4061,2.32,3657048,111.05
"Gto",4844,2.76,6228175,77.78
"Hgo",3130,1.79,3086414,101.41
"Jal",4958,2.83,8409693,58.96
"Mich",4536,2.59,4825401,94
"Mor",2017,1.15,2044058,98.68
"Nay",1221,0.7,1288571,94.76
"NL",3647,2.08,5610153,65.01
"Oax",3840,2.19,4143593,92.67
"Pue",7455,4.26,6604451,112.88
"Qro",1783,1.02,2279637,78.21
"QRoo",2838,1.62,1723259,164.69
"Sin",6495,3.71,3156674,205.75
"SLP",2186,1.25,2866142,76.27
"Son",4798,2.74,3074745,156.05
"Tab",8185,4.67,2572287,318.2
"Tamps",4006,2.29,3650602,109.74
"Tlax",1901,1.09,1380011,137.75
"Ver",7614,4.35,8539862,89.16
"Yuc",3073,1.75,2259098,136.03
"Zac",662,0.38,1666426,39.73
"Nacional",175202,100.03,127792286,137.1
