"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",6,0.29,186,3.23
"10 a 19",1,0.05,309,0.32
"20 a 29",29,1.41,2495,1.16
"30 a 39",123,5.97,4816,2.55
"40 a 49",383,18.58,5248,7.3
"50 a 59",514,24.94,4515,11.38
"60 a 69",527,25.57,2741,19.23
"70 a 79",328,15.91,1290,25.43
"80 y mas",150,7.28,488,30.74
"Nacional",2061,100,22088,9.33
