"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",952,0.94,21849433,4.36
"10 a 19",1795,1.77,22185367,8.09
"20 a 29",12272,12.12,21479518,57.13
"30 a 39",22272,22,18897970,117.85
"40 a 49",23328,23.04,16198907,144.01
"50 a 59",19815,19.57,12720337,155.77
"60 a 69",12140,11.99,8199671,148.05
"70 a 79",6030,5.96,4225668,142.7
"80 y mas",2634,2.6,2035415,129.41
"Nacional",101238,99.99,127792286,79.22
