"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",625,0.91,1434635,43.57
"BC",4282,6.24,3634868,117.8
"BCS",517,0.75,804708,64.25
"Camp",526,0.77,1000617,52.57
"CDMX",23618,34.42,9018645,261.88
"Chih",1188,1.73,3801487,31.25
"Chis",1133,1.65,5730367,19.77
"Coah",829,1.21,3218720,25.76
"Col",108,0.16,785153,13.76
"Dgo",230,0.34,1868996,12.31
"EdoMex",7163,10.44,17427790,41.1
"Gro",1148,1.67,3657048,31.39
"Gto",1064,1.55,6228175,17.08
"Hgo",1232,1.8,3086414,39.92
"Jal",1195,1.74,8409693,14.21
"Mich",1395,2.03,4825401,28.91
"Mor",1178,1.72,2044058,57.63
"Nay",401,0.58,1288571,31.12
"NL",1154,1.68,5610153,20.57
"Oax",988,1.44,4143593,23.84
"Pue",2103,3.06,6604451,31.84
"Qro",732,1.07,2279637,32.11
"QRoo",1597,2.33,1723259,92.67
"Sin",2598,3.79,3156674,82.3
"SLP",698,1.02,2866142,24.35
"Son",1364,1.99,3074745,44.36
"Tab",3135,4.57,2572287,121.88
"Tamps",1224,1.78,3650602,33.53
"Tlax",791,1.15,1380011,57.32
"Ver",2692,3.92,8539862,31.52
"Yuc",1483,2.16,2259098,65.65
"Zac",229,0.33,1666426,13.74
"Nacional",68620,100,127792286,53.7
