"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",618,0.99,1434635,43.08
"BC",4005,6.41,3634868,110.18
"BCS",490,0.78,804708,60.89
"Camp",469,0.75,1000617,46.87
"CDMX",21182,33.88,9018645,234.87
"Chih",1123,1.8,3801487,29.54
"Chis",942,1.51,5730367,16.44
"Coah",819,1.31,3218720,25.44
"Col",92,0.15,785153,11.72
"Dgo",208,0.33,1868996,11.13
"EdoMex",6697,10.71,17427790,38.43
"Gro",973,1.56,3657048,26.61
"Gto",956,1.53,6228175,15.35
"Hgo",1127,1.8,3086414,36.51
"Jal",1108,1.77,8409693,13.18
"Mich",1272,2.03,4825401,26.36
"Mor",1102,1.76,2044058,53.91
"Nay",364,0.58,1288571,28.25
"NL",1095,1.75,5610153,19.52
"Oax",889,1.42,4143593,21.45
"Pue",1881,3.01,6604451,28.48
"Qro",675,1.08,2279637,29.61
"QRoo",1520,2.43,1723259,88.2
"Sin",2338,3.74,3156674,74.07
"SLP",602,0.96,2866142,21
"Son",1122,1.79,3074745,36.49
"Tab",2917,4.67,2572287,113.4
"Tamps",1135,1.82,3650602,31.09
"Tlax",702,1.12,1380011,50.87
"Ver",2529,4.04,8539862,29.61
"Yuc",1360,2.18,2259098,60.2
"Zac",215,0.34,1666426,12.9
"Nacional",62527,100,127792286,48.93
