"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",2472,0.98,1434635,172.31
"BC",9938,3.94,3634868,273.41
"BCS",1729,0.69,804708,214.86
"Camp",2382,0.94,1000617,238.05
"CDMX",62886,24.94,9018645,697.29
"Chih",3350,1.33,3801487,88.12
"Chis",4655,1.85,5730367,81.23
"Coah",5586,2.22,3218720,173.55
"Col",681,0.27,785153,86.73
"Dgo",2212,0.88,1868996,118.35
"EdoMex",26418,10.48,17427790,151.59
"Gro",5790,2.3,3657048,158.32
"Gto",8953,3.55,6228175,143.75
"Hgo",4142,1.64,3086414,134.2
"Jal",7547,2.99,8409693,89.74
"Mich",6213,2.46,4825401,128.76
"Mor",3021,1.2,2044058,147.79
"Nay",1910,0.76,1288571,148.23
"NL",7286,2.89,5610153,129.87
"Oax",6024,2.39,4143593,145.38
"Pue",12063,4.78,6604451,182.65
"Qro",2253,0.89,2279637,98.83
"QRoo",4175,1.66,1723259,242.27
"Sin",8918,3.54,3156674,282.51
"SLP",3577,1.42,2866142,124.8
"Son",8892,3.53,3074745,289.19
"Tab",11931,4.73,2572287,463.83
"Tamps",7247,2.87,3650602,198.52
"Tlax",2625,1.04,1380011,190.22
"Ver",11260,4.47,8539862,131.85
"Yuc",4987,1.98,2259098,220.75
"Zac",1042,0.41,1666426,62.53
"Nacional",252165,100.02,127792286,197.32
