"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",595,1,1434635,41.47
"BC",3829,6.43,3634868,105.34
"BCS",488,0.82,804708,60.64
"Camp",443,0.74,1000617,44.27
"CDMX",20076,33.7,9018645,222.61
"Chih",1095,1.84,3801487,28.8
"Chis",865,1.45,5730367,15.1
"Coah",779,1.31,3218720,24.2
"Col",86,0.14,785153,10.95
"Dgo",190,0.32,1868996,10.17
"EdoMex",6369,10.69,17427790,36.55
"Gro",940,1.58,3657048,25.7
"Gto",906,1.52,6228175,14.55
"Hgo",1086,1.82,3086414,35.19
"Jal",1034,1.74,8409693,12.3
"Mich",1184,1.99,4825401,24.54
"Mor",1132,1.9,2044058,55.38
"Nay",348,0.58,1288571,27.01
"NL",1043,1.75,5610153,18.59
"Oax",797,1.34,4143593,19.23
"Pue",1828,3.07,6604451,27.68
"Qro",632,1.06,2279637,27.72
"QRoo",1440,2.42,1723259,83.56
"Sin",2252,3.78,3156674,71.34
"SLP",563,0.95,2866142,19.64
"Son",1066,1.79,3074745,34.67
"Tab",2811,4.72,2572287,109.28
"Tamps",1114,1.87,3650602,30.52
"Tlax",690,1.16,1380011,50
"Ver",2363,3.97,8539862,27.67
"Yuc",1318,2.21,2259098,58.34
"Zac",205,0.34,1666426,12.3
"Nacional",59567,100,127792286,46.61
