"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",80,0.97,1434635,5.58
"BC",680,8.23,3634868,18.71
"BCS",193,2.34,804708,23.98
"Camp",57,0.69,1000617,5.7
"CDMX",2591,31.36,9018645,28.73
"Chih",148,1.79,3801487,3.89
"Chis",67,0.81,5730367,1.17
"Coah",237,2.87,3218720,7.36
"Col",11,0.13,785153,1.4
"Dgo",21,0.25,1868996,1.12
"EdoMex",877,10.62,17427790,5.03
"Gro",121,1.46,3657048,3.31
"Gto",133,1.61,6228175,2.14
"Hgo",87,1.05,3086414,2.82
"Jal",198,2.4,8409693,2.35
"Mich",115,1.39,4825401,2.38
"Mor",82,0.99,2044058,4.01
"Nay",35,0.42,1288571,2.72
"NL",184,2.23,5610153,3.28
"Oax",63,0.76,4143593,1.52
"Pue",352,4.26,6604451,5.33
"Qro",81,0.98,2279637,3.55
"QRoo",322,3.9,1723259,18.69
"Sin",459,5.56,3156674,14.54
"SLP",63,0.76,2866142,2.2
"Son",117,1.42,3074745,3.81
"Tab",335,4.06,2572287,13.02
"Tamps",127,1.54,3650602,3.48
"Tlax",76,0.92,1380011,5.51
"Ver",146,1.77,8539862,1.71
"Yuc",176,2.13,2259098,7.79
"Zac",27,0.33,1666426,1.62
"Nacional",8261,100,127792286,6.46
