"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",851,0.91,1434635,59.32
"BC",5207,5.57,3634868,143.25
"BCS",626,0.67,804708,77.79
"Camp",709,0.76,1000617,70.86
"CDMX",30987,33.16,9018645,343.59
"Chih",1627,1.74,3801487,42.8
"Chis",1879,2.01,5730367,32.79
"Coah",1093,1.17,3218720,33.96
"Col",149,0.16,785153,18.98
"Dgo",390,0.42,1868996,20.87
"EdoMex",10095,10.8,17427790,57.92
"Gro",1882,2.01,3657048,51.46
"Gto",1697,1.82,6228175,27.25
"Hgo",1743,1.87,3086414,56.47
"Jal",1826,1.95,8409693,21.71
"Mich",1987,2.13,4825401,41.18
"Mor",1347,1.44,2044058,65.9
"Nay",597,0.64,1288571,46.33
"NL",1488,1.59,5610153,26.52
"Oax",1490,1.59,4143593,35.96
"Pue",3148,3.37,6604451,47.66
"Qro",998,1.07,2279637,43.78
"QRoo",1915,2.05,1723259,111.13
"Sin",3595,3.85,3156674,113.89
"SLP",963,1.03,2866142,33.6
"Son",2040,2.18,3074745,66.35
"Tab",4334,4.64,2572287,168.49
"Tamps",1660,1.78,3650602,45.47
"Tlax",1063,1.14,1380011,77.03
"Ver",3894,4.17,8539862,45.6
"Yuc",1859,1.99,2259098,82.29
"Zac",296,0.32,1666426,17.76
"Nacional",93435,100,127792286,73.11
