"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",148,1.01,1434635,10.32
"BC",1286,8.76,3634868,35.38
"BCS",285,1.94,804708,35.42
"Camp",94,0.64,1000617,9.39
"CDMX",4660,31.75,9018645,51.67
"Chih",259,1.76,3801487,6.81
"Chis",118,0.8,5730367,2.06
"Coah",344,2.34,3218720,10.69
"Col",18,0.12,785153,2.29
"Dgo",45,0.31,1868996,2.41
"EdoMex",1694,11.54,17427790,9.72
"Gro",193,1.31,3657048,5.28
"Gto",206,1.4,6228175,3.31
"Hgo",174,1.19,3086414,5.64
"Jal",282,1.92,8409693,3.35
"Mich",210,1.43,4825401,4.35
"Mor",178,1.21,2044058,8.71
"Nay",57,0.39,1288571,4.42
"NL",287,1.96,5610153,5.12
"Oax",105,0.72,4143593,2.53
"Pue",514,3.5,6604451,7.78
"Qro",112,0.76,2279637,4.91
"QRoo",593,4.04,1723259,34.41
"Sin",750,5.11,3156674,23.76
"SLP",79,0.54,2866142,2.76
"Son",144,0.98,3074745,4.68
"Tab",721,4.91,2572287,28.03
"Tamps",262,1.79,3650602,7.18
"Tlax",140,0.95,1380011,10.14
"Ver",334,2.28,8539862,3.91
"Yuc",321,2.19,2259098,14.21
"Zac",64,0.44,1666426,3.84
"Nacional",14677,99.99,127792286,11.49
