"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",226,1.09,1434635,15.75
"BC",1586,7.65,3634868,43.63
"BCS",323,1.56,804708,40.14
"Camp",140,0.68,1000617,13.99
"CDMX",6491,31.3,9018645,71.97
"Chih",401,1.93,3801487,10.55
"Chis",187,0.9,5730367,3.26
"Coah",417,2.01,3218720,12.96
"Col",27,0.13,785153,3.44
"Dgo",69,0.33,1868996,3.69
"EdoMex",2504,12.07,17427790,14.37
"Gro",306,1.48,3657048,8.37
"Gto",283,1.36,6228175,4.54
"Hgo",277,1.34,3086414,8.97
"Jal",377,1.82,8409693,4.48
"Mich",355,1.71,4825401,7.36
"Mor",349,1.68,2044058,17.07
"Nay",89,0.43,1288571,6.91
"NL",376,1.81,5610153,6.7
"Oax",145,0.7,4143593,3.5
"Pue",717,3.46,6604451,10.86
"Qro",150,0.72,2279637,6.58
"QRoo",820,3.95,1723259,47.58
"Sin",1012,4.88,3156674,32.06
"SLP",120,0.58,2866142,4.19
"Son",214,1.03,3074745,6.96
"Tab",1060,5.11,2572287,41.21
"Tamps",340,1.64,3650602,9.31
"Tlax",224,1.08,1380011,16.23
"Ver",586,2.83,8539862,6.86
"Yuc",485,2.34,2259098,21.47
"Zac",83,0.4,1666426,4.98
"Nacional",20739,100,127792286,16.23
