"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",1707,1.03,1434635,118.98
"BC",7528,4.55,3634868,207.11
"BCS",1104,0.67,804708,137.19
"Camp",1268,0.77,1000617,126.72
"CDMX",48614,29.38,9018645,539.04
"Chih",2443,1.48,3801487,64.26
"Chis",3454,2.09,5730367,60.28
"Coah",2499,1.51,3218720,77.64
"Col",342,0.21,785153,43.56
"Dgo",1175,0.71,1868996,62.87
"EdoMex",17630,10.66,17427790,101.16
"Gro",3792,2.29,3657048,103.69
"Gto",4371,2.64,6228175,70.18
"Hgo",2987,1.81,3086414,96.78
"Jal",4694,2.84,8409693,55.82
"Mich",4232,2.56,4825401,87.7
"Mor",1945,1.18,2044058,95.15
"Nay",1127,0.68,1288571,87.46
"NL",3414,2.06,5610153,60.85
"Oax",3506,2.12,4143593,84.61
"Pue",6688,4.04,6604451,101.27
"Qro",1702,1.03,2279637,74.66
"QRoo",2719,1.64,1723259,157.78
"Sin",6170,3.73,3156674,195.46
"SLP",2044,1.24,2866142,71.32
"Son",4376,2.64,3074745,142.32
"Tab",7641,4.62,2572287,297.05
"Tamps",3774,2.28,3650602,103.38
"Tlax",1801,1.09,1380011,130.51
"Ver",7240,4.38,8539862,84.78
"Yuc",2864,1.73,2259098,126.78
"Zac",604,0.37,1666426,36.25
"Nacional",165455,100.03,127792286,129.47
