"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",122,0.24,4886,2.5
"10 a 19",86,0.17,11217,0.77
"20 a 29",620,1.21,67836,0.91
"30 a 39",2373,4.62,104731,2.27
"40 a 49",6471,12.61,103014,6.28
"50 a 59",11849,23.09,84731,13.98
"60 a 69",14030,27.34,53036,26.45
"70 a 79",10456,20.38,27729,37.71
"80 y mas",5304,10.34,12227,43.38
"Nacional",51311,100,469407,10.93
