"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",2251,1.04,1434635,156.9
"BC",8864,4.09,3634868,243.86
"BCS",1422,0.66,804708,176.71
"Camp",1932,0.89,1000617,193.08
"CDMX",57280,26.41,9018645,635.13
"Chih",2957,1.36,3801487,77.79
"Chis",4216,1.94,5730367,73.57
"Coah",4005,1.85,3218720,124.43
"Col",540,0.25,785153,68.78
"Dgo",1751,0.81,1868996,93.69
"EdoMex",23483,10.83,17427790,134.74
"Gro",5027,2.32,3657048,137.46
"Gto",6833,3.15,6228175,109.71
"Hgo",3679,1.7,3086414,119.2
"Jal",6435,2.97,8409693,76.52
"Mich",5563,2.57,4825401,115.29
"Mor",2729,1.26,2044058,133.51
"Nay",1609,0.74,1288571,124.87
"NL",5126,2.36,5610153,91.37
"Oax",4990,2.3,4143593,120.43
"Pue",10083,4.65,6604451,152.67
"Qro",1995,0.92,2279637,87.51
"QRoo",3416,1.58,1723259,198.23
"Sin",7913,3.65,3156674,250.68
"SLP",3012,1.39,2866142,105.09
"Son",6884,3.17,3074745,223.89
"Tab",10293,4.75,2572287,400.15
"Tamps",5746,2.65,3650602,157.4
"Tlax",2221,1.02,1380011,160.94
"Ver",9624,4.44,8539862,112.7
"Yuc",4147,1.91,2259098,183.57
"Zac",826,0.38,1666426,49.57
"Nacional",216852,100.01,127792286,169.69
