"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",296,1,1434635,20.63
"BC",2204,7.44,3634868,60.63
"BCS",367,1.24,804708,45.61
"Camp",219,0.74,1000617,21.89
"CDMX",9533,32.19,9018645,105.7
"Chih",617,2.08,3801487,16.23
"Chis",284,0.96,5730367,4.96
"Coah",501,1.69,3218720,15.57
"Col",33,0.11,785153,4.2
"Dgo",95,0.32,1868996,5.08
"EdoMex",3681,12.43,17427790,21.12
"Gro",423,1.43,3657048,11.57
"Gto",390,1.32,6228175,6.26
"Hgo",425,1.44,3086414,13.77
"Jal",510,1.72,8409693,6.06
"Mich",487,1.64,4825401,10.09
"Mor",642,2.17,2044058,31.41
"Nay",170,0.57,1288571,13.19
"NL",574,1.94,5610153,10.23
"Oax",207,0.7,4143593,5
"Pue",977,3.3,6604451,14.79
"Qro",205,0.69,2279637,8.99
"QRoo",989,3.34,1723259,57.39
"Sin",1319,4.45,3156674,41.78
"SLP",203,0.69,2866142,7.08
"Son",350,1.18,3074745,11.38
"Tab",1391,4.7,2572287,54.08
"Tamps",440,1.49,3650602,12.05
"Tlax",313,1.06,1380011,22.68
"Ver",926,3.13,8539862,10.84
"Yuc",721,2.43,2259098,31.92
"Zac",124,0.42,1666426,7.44
"Nacional",29616,100.01,127792286,23.18
