"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",2396,1.03,1434635,167.01
"BC",9368,4.04,3634868,257.73
"BCS",1563,0.67,804708,194.23
"Camp",2122,0.92,1000617,212.07
"CDMX",59023,25.47,9018645,654.46
"Chih",3115,1.34,3801487,81.94
"Chis",4487,1.94,5730367,78.3
"Coah",4958,2.14,3218720,154.04
"Col",591,0.25,785153,75.27
"Dgo",1956,0.84,1868996,104.66
"EdoMex",24741,10.67,17427790,141.96
"Gro",5408,2.33,3657048,147.88
"Gto",7785,3.36,6228175,125
"Hgo",3902,1.68,3086414,126.43
"Jal",6918,2.98,8409693,82.26
"Mich",5867,2.53,4825401,121.59
"Mor",2877,1.24,2044058,140.75
"Nay",1728,0.75,1288571,134.1
"NL",6275,2.71,5610153,111.85
"Oax",5311,2.29,4143593,128.17
"Pue",10898,4.7,6604451,165.01
"Qro",2125,0.92,2279637,93.22
"QRoo",3762,1.62,1723259,218.31
"Sin",8472,3.66,3156674,268.38
"SLP",3249,1.4,2866142,113.36
"Son",7683,3.31,3074745,249.87
"Tab",10986,4.74,2572287,427.09
"Tamps",6068,2.62,3650602,166.22
"Tlax",2369,1.02,1380011,171.67
"Ver",10324,4.45,8539862,120.89
"Yuc",4519,1.95,2259098,200.04
"Zac",924,0.4,1666426,55.45
"Nacional",231770,99.97,127792286,181.36
