"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",334,0.95,1434635,23.28
"BC",2454,7.01,3634868,67.51
"BCS",385,1.1,804708,47.84
"Camp",262,0.75,1000617,26.18
"CDMX",11599,33.12,9018645,128.61
"Chih",673,1.92,3801487,17.7
"Chis",382,1.09,5730367,6.67
"Coah",563,1.61,3218720,17.49
"Col",39,0.11,785153,4.97
"Dgo",113,0.32,1868996,6.05
"EdoMex",4146,11.84,17427790,23.79
"Gro",510,1.46,3657048,13.95
"Gto",473,1.35,6228175,7.59
"Hgo",533,1.52,3086414,17.27
"Jal",597,1.7,8409693,7.1
"Mich",588,1.68,4825401,12.19
"Mor",786,2.24,2044058,38.45
"Nay",208,0.59,1288571,16.14
"NL",650,1.86,5610153,11.59
"Oax",244,0.7,4143593,5.89
"Pue",1083,3.09,6604451,16.4
"Qro",248,0.71,2279637,10.88
"QRoo",1072,3.06,1723259,62.21
"Sin",1479,4.22,3156674,46.85
"SLP",265,0.76,2866142,9.25
"Son",466,1.33,3074745,15.16
"Tab",1638,4.68,2572287,63.68
"Tamps",738,2.11,3650602,20.22
"Tlax",368,1.05,1380011,26.67
"Ver",1158,3.31,8539862,13.56
"Yuc",823,2.35,2259098,36.43
"Zac",145,0.41,1666426,8.7
"Nacional",35022,100,127792286,27.41
