"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",255,1.15,1434635,17.77
"BC",1598,7.23,3634868,43.96
"BCS",331,1.5,804708,41.13
"Camp",150,0.68,1000617,14.99
"CDMX",7035,31.85,9018645,78.01
"Chih",453,2.05,3801487,11.92
"Chis",210,0.95,5730367,3.66
"Coah",437,1.98,3218720,13.58
"Col",28,0.13,785153,3.57
"Dgo",71,0.32,1868996,3.8
"EdoMex",2615,11.84,17427790,15
"Gro",307,1.39,3657048,8.39
"Gto",290,1.31,6228175,4.66
"Hgo",301,1.36,3086414,9.75
"Jal",388,1.76,8409693,4.61
"Mich",378,1.71,4825401,7.83
"Mor",400,1.81,2044058,19.57
"Nay",99,0.45,1288571,7.68
"NL",415,1.88,5610153,7.4
"Oax",162,0.73,4143593,3.91
"Pue",765,3.46,6604451,11.58
"Qro",158,0.72,2279637,6.93
"QRoo",878,3.98,1723259,50.95
"Sin",1081,4.89,3156674,34.24
"SLP",129,0.58,2866142,4.5
"Son",223,1.01,3074745,7.25
"Tab",1070,4.84,2572287,41.6
"Tamps",364,1.65,3650602,9.97
"Tlax",235,1.06,1380011,17.03
"Ver",641,2.9,8539862,7.51
"Yuc",530,2.4,2259098,23.46
"Zac",91,0.41,1666426,5.46
"Nacional",22088,99.98,127792286,17.28
