"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",33,0.26,994,3.32
"10 a 19",18,0.14,1882,0.96
"20 a 29",160,1.28,12886,1.24
"30 a 39",700,5.58,23279,3.01
"40 a 49",1859,14.82,24349,7.63
"50 a 59",3168,25.25,20627,15.36
"60 a 69",3296,26.27,12614,26.13
"70 a 79",2194,17.49,6301,34.82
"80 y mas",1117,8.9,2748,40.65
"Nacional",12545,99.99,105680,11.87
