"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",16,0.28,477,3.35
"10 a 19",6,0.11,825,0.73
"20 a 29",72,1.27,6163,1.17
"30 a 39",330,5.82,11775,2.8
"40 a 49",940,16.59,12808,7.34
"50 a 59",1435,25.33,10983,13.07
"60 a 69",1477,26.07,6647,22.22
"70 a 79",942,16.63,3263,28.87
"80 y mas",448,7.91,1405,31.89
"Nacional",5666,100.01,54346,10.43
