"Grupo","FrecuenciaAcum","Proyeccion","TasaIncidencia"
"0 a 9","13","21849433","0.06"
"10 a 19","57","22185367","0.26"
"20 a 29","306","21479518","1.42"
"30 a 39","405","18897970","2.14"
"40 a 49","441","16198907","2.72"
"50 a 59","329","12720337","2.59"
"60 a 69","200","8199671","2.44"
"70 a 79","117","4225668","2.77"
"80 y mas","22","2035415","1.08"
"Nacional","1890","127792286","1.48"
