"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",80,0.84,1434635,5.58
"BC",915,9.63,3634868,25.17
"BCS",228,2.4,804708,28.33
"Camp",67,0.71,1000617,6.7
"CDMX",2857,30.07,9018645,31.68
"Chih",155,1.63,3801487,4.08
"Chis",75,0.79,5730367,1.31
"Coah",266,2.8,3218720,8.26
"Col",14,0.15,785153,1.78
"Dgo",30,0.32,1868996,1.61
"EdoMex",1013,10.66,17427790,5.81
"Gro",126,1.33,3657048,3.45
"Gto",158,1.66,6228175,2.54
"Hgo",106,1.12,3086414,3.43
"Jal",226,2.38,8409693,2.69
"Mich",139,1.46,4825401,2.88
"Mor",89,0.94,2044058,4.35
"Nay",41,0.43,1288571,3.18
"NL",203,2.14,5610153,3.62
"Oax",72,0.76,4143593,1.74
"Pue",382,4.02,6604451,5.78
"Qro",88,0.93,2279637,3.86
"QRoo",393,4.14,1723259,22.81
"Sin",510,5.37,3156674,16.16
"SLP",67,0.71,2866142,2.34
"Son",114,1.2,3074745,3.71
"Tab",467,4.92,2572287,18.16
"Tamps",145,1.53,3650602,3.97
"Tlax",84,0.88,1380011,6.09
"Ver",165,1.74,8539862,1.93
"Yuc",194,2.04,2259098,8.59
"Zac",32,0.34,1666426,1.92
"Nacional",9501,100.04,127792286,7.43
