"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",404,1.01,1434635,28.16
"BC",2793,6.95,3634868,76.84
"BCS",407,1.01,804708,50.58
"Camp",301,0.75,1000617,30.08
"CDMX",13095,32.59,9018645,145.2
"Chih",767,1.91,3801487,20.18
"Chis",436,1.08,5730367,7.61
"Coah",618,1.54,3218720,19.2
"Col",41,0.1,785153,5.22
"Dgo",127,0.32,1868996,6.8
"EdoMex",4689,11.67,17427790,26.91
"Gro",643,1.6,3657048,17.58
"Gto",586,1.46,6228175,9.41
"Hgo",628,1.56,3086414,20.35
"Jal",703,1.75,8409693,8.36
"Mich",699,1.74,4825401,14.49
"Mor",895,2.23,2044058,43.79
"Nay",237,0.59,1288571,18.39
"NL",724,1.8,5610153,12.91
"Oax",285,0.71,4143593,6.88
"Pue",1226,3.05,6604451,18.56
"Qro",332,0.83,2279637,14.56
"QRoo",1168,2.91,1723259,67.78
"Sin",1629,4.05,3156674,51.6
"SLP",343,0.85,2866142,11.97
"Son",599,1.49,3074745,19.48
"Tab",1960,4.88,2572287,76.2
"Tamps",801,1.99,3650602,21.94
"Tlax",452,1.12,1380011,32.75
"Ver",1520,3.78,8539862,17.8
"Yuc",918,2.28,2259098,40.64
"Zac",160,0.4,1666426,9.6
"Nacional",40186,100,127792286,31.45
