"Grupo","FrecuenciaAcum","Porcentaje","Proyeccion","TasaIncidencia"
"0 a 9","32","0.93","21849433","0.15"
"10 a 19","60","1.74","22185367","0.27"
"20 a 29","502","14.59","21479518","2.34"
"30 a 39","746","21.68","18897970","3.95"
"40 a 49","785","22.81","16198907","4.85"
"50 a 59","658","19.12","12720337","5.17"
"60 a 69","397","11.54","8199671","4.84"
"70 a 79","204","5.93","4225668","4.83"
"80 y mas","57","1.66","2035415","2.8"
"Total","3441","100","127792286","2.69"
