"Entidad","FrecuenciaAcum","Porcentaje","Proyeccion","TasaIncidencia"
"Ags","55","1.18","1434635","3.83"
"BC","335","7.19","3634868","9.22"
"BCS","120","2.57","804708","14.91"
"Camp","19","0.41","1000617","1.9"
"CDMX","1328","28.49","9018645","14.73"
"Chih","61","1.31","3801487","1.6"
"Chis","43","0.92","5730367","0.75"
"Coah","157","3.37","3218720","4.88"
"Col","7","0.15","785153","0.89"
"Dgo","16","0.34","1868996","0.86"
"EdoMex","523","11.22","17427790","3"
"Gro","70","1.5","3657048","1.91"
"Gto","82","1.76","6228175","1.32"
"Hgo","58","1.24","3086414","1.88"
"Jal","156","3.35","8409693","1.86"
"Mich","61","1.31","4825401","1.26"
"Mor","44","0.94","2044058","2.15"
"Nay","22","0.47","1288571","1.71"
"NL","124","2.66","5610153","2.21"
"Oax","43","0.92","4143593","1.04"
"Pue","256","5.49","6604451","3.88"
"Qro","61","1.31","2279637","2.68"
"QRoo","223","4.78","1723259","12.94"
"Sin","229","4.91","3156674","7.25"
"SLP","53","1.14","2866142","1.85"
"Son","69","1.48","3074745","2.24"
"Tab","153","3.28","2572287","5.95"
"Tamps","53","1.14","3650602","1.45"
"Tlax","40","0.86","1380011","2.9"
"Ver","78","1.67","8539862","0.91"
"Yuc","107","2.3","2259098","4.74"
"Zac","15","0.32","1666426","0.9"
"Nacional","4661","99.98","127792286","3.65"
