"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",3550,1.02,1434635,247.45
"BC",11955,3.42,3634868,328.9
"BCS",3202,0.92,804708,397.91
"Camp",3748,1.07,1000617,374.57
"CDMX",77503,22.18,9018645,859.36
"Chih",4383,1.25,3801487,115.3
"Chis",5252,1.5,5730367,91.65
"Coah",9421,2.7,3218720,292.69
"Col",1256,0.36,785153,159.97
"Dgo",3243,0.93,1868996,173.52
"EdoMex",32955,9.43,17427790,189.09
"Gro",8931,2.56,3657048,244.21
"Gto",15222,4.36,6228175,244.41
"Hgo",5352,1.53,3086414,173.41
"Jal",10677,3.06,8409693,126.96
"Mich",8212,2.35,4825401,170.18
"Mor",3473,0.99,2044058,169.91
"Nay",2746,0.79,1288571,213.1
"NL",12697,3.63,5610153,226.32
"Oax",8661,2.48,4143593,209.02
"Pue",16673,4.77,6604451,252.45
"Qro",3100,0.89,2279637,135.99
"QRoo",6235,1.78,1723259,361.81
"Sin",11363,3.25,3156674,359.97
"SLP",6101,1.75,2866142,212.86
"Son",14671,4.2,3074745,477.15
"Tab",17924,5.13,2572287,696.81
"Tamps",11300,3.23,3650602,309.54
"Tlax",3541,1.01,1380011,256.59
"Ver",16864,4.83,8539862,197.47
"Yuc",7345,2.1,2259098,325.13
"Zac",1840,0.53,1666426,110.42
"Nacional",349396,100,127792286,273.41
