"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",209,0.53,3550,5.89
"BC",2361,5.98,11955,19.75
"BCS",117,0.3,3202,3.65
"Camp",370,0.94,3748,9.87
"CDMX",8253,20.9,77503,10.65
"Chih",805,2.04,4383,18.37
"Chis",824,2.09,5252,15.69
"Coah",467,1.18,9421,4.96
"Col",144,0.36,1256,11.46
"Dgo",226,0.57,3243,6.97
"EdoMex",5688,14.41,32955,17.26
"Gro",1198,3.03,8931,13.41
"Gto",725,1.84,15222,4.76
"Hgo",885,2.24,5352,16.54
"Jal",1252,3.17,10677,11.73
"Mich",640,1.62,8212,7.79
"Mor",777,1.97,3473,22.37
"Nay",287,0.73,2746,10.45
"NL",669,1.69,12697,5.27
"Oax",811,2.05,8661,9.36
"Pue",1998,5.06,16673,11.98
"Qro",409,1.04,3100,13.19
"QRoo",795,2.01,6235,12.75
"Sin",1843,4.67,11363,16.22
"SLP",324,0.82,6101,5.31
"Son",1499,3.8,14671,10.22
"Tab",1624,4.11,17924,9.06
"Tamps",704,1.78,11300,6.23
"Tlax",522,1.32,3541,14.74
"Ver",2188,5.54,16864,12.97
"Yuc",707,1.79,7345,9.63
"Zac",164,0.42,1840,8.91
"Nacional",39485,100,349396,11.3
