"Grupo","FrecuenciaAcum","Proyeccion","TasaIncidencia"
"0 a 9","11","21849433","0.05"
"10 a 19","54","22185367","0.24"
"20 a 29","278","21479518","1.29"
"30 a 39","365","18897970","1.93"
"40 a 49","387","16198907","2.39"
"50 a 59","299","12720337","2.35"
"60 a 69","175","8199671","2.13"
"70 a 79","102","4225668","2.41"
"80 y mas","17","2035415","0.84"
"Nacional","1688","127792286","1.32"
