"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",9,0.27,271,3.32
"10 a 19",2,0.06,475,0.42
"20 a 29",46,1.37,3669,1.25
"30 a 39",198,5.91,7231,2.74
"40 a 49",610,18.19,7921,7.7
"50 a 59",862,25.71,6864,12.56
"60 a 69",860,25.65,4218,20.39
"70 a 79",523,15.6,1982,26.39
"80 y mas",243,7.25,829,29.31
"Nacional",3353,100.01,33460,10.02
