"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",220,0.54,3610,6.09
"BC",2388,5.91,12057,19.81
"BCS",121,0.3,3216,3.76
"Camp",386,0.96,3787,10.19
"CDMX",8354,20.68,78690,10.62
"Chih",808,2,4473,18.06
"Chis",834,2.06,5275,15.81
"Coah",491,1.22,10032,4.89
"Col",145,0.36,1275,11.37
"Dgo",240,0.59,3276,7.33
"EdoMex",5814,14.39,33521,17.34
"Gro",1217,3.01,9074,13.41
"Gto",761,1.88,15585,4.88
"Hgo",903,2.24,5458,16.54
"Jal",1289,3.19,10862,11.87
"Mich",644,1.59,8296,7.76
"Mor",788,1.95,3524,22.36
"Nay",291,0.72,2814,10.34
"NL",749,1.85,13144,5.7
"Oax",818,2.02,8817,9.28
"Pue",2026,5.01,16890,12
"Qro",419,1.04,3153,13.29
"QRoo",822,2.03,6318,13.01
"Sin",1894,4.69,11696,16.19
"SLP",334,0.83,6277,5.32
"Son",1539,3.81,15012,10.25
"Tab",1652,4.09,18201,9.08
"Tamps",743,1.84,11843,6.27
"Tlax",541,1.34,3574,15.14
"Ver",2269,5.62,17090,13.28
"Yuc",727,1.8,7527,9.66
"Zac",173,0.43,1888,9.16
"Nacional",40400,99.99,356255,11.34
