"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",146,1.05,1434635,10.18
"BC",1206,8.71,3634868,33.18
"BCS",266,1.92,804708,33.06
"Camp",87,0.63,1000617,8.69
"CDMX",4431,32.01,9018645,49.13
"Chih",241,1.74,3801487,6.34
"Chis",114,0.82,5730367,1.99
"Coah",336,2.43,3218720,10.44
"Col",16,0.12,785153,2.04
"Dgo",43,0.31,1868996,2.3
"EdoMex",1608,11.62,17427790,9.23
"Gro",171,1.24,3657048,4.68
"Gto",198,1.43,6228175,3.18
"Hgo",155,1.12,3086414,5.02
"Jal",271,1.96,8409693,3.22
"Mich",195,1.41,4825401,4.04
"Mor",158,1.14,2044058,7.73
"Nay",53,0.38,1288571,4.11
"NL",282,2.04,5610153,5.03
"Oax",102,0.74,4143593,2.46
"Pue",486,3.51,6604451,7.36
"Qro",110,0.79,2279637,4.83
"QRoo",540,3.9,1723259,31.34
"Sin",711,5.14,3156674,22.52
"SLP",76,0.55,2866142,2.65
"Son",135,0.98,3074745,4.39
"Tab",700,5.06,2572287,27.21
"Tamps",217,1.57,3650602,5.94
"Tlax",133,0.96,1380011,9.64
"Ver",299,2.16,8539862,3.5
"Yuc",299,2.16,2259098,13.24
"Zac",57,0.41,1666426,3.42
"Nacional",13842,100.01,127792286,10.83
