"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",269,0.55,4309,6.24
"BC",2668,5.46,13713,19.46
"BCS",192,0.39,4732,4.06
"Camp",534,1.09,4821,11.08
"CDMX",9114,18.65,92458,9.86
"Chih",913,1.87,5456,16.73
"Chis",928,1.9,5605,16.56
"Coah",695,1.42,13827,5.03
"Col",240,0.49,2055,11.68
"Dgo",291,0.6,4348,6.69
"EdoMex",6629,13.56,39303,16.87
"Gro",1404,2.87,11282,12.44
"Gto",1070,2.19,22255,4.81
"Hgo",1109,2.27,7009,15.82
"Jal",1627,3.33,13903,11.7
"Mich",783,1.6,10478,7.47
"Mor",848,1.74,3990,21.25
"Nay",410,0.84,3577,11.46
"NL",1186,2.43,20054,5.91
"Oax",980,2.01,10869,9.02
"Pue",2558,5.23,21376,11.97
"Qro",513,1.05,4062,12.63
"QRoo",1026,2.1,8036,12.77
"Sin",2272,4.65,13075,17.38
"SLP",567,1.16,10833,5.23
"Son",2065,4.23,18322,11.27
"Tab",2083,4.26,23078,9.03
"Tamps",1109,2.27,17362,6.39
"Tlax",706,1.44,4359,16.2
"Ver",2873,5.88,21797,13.18
"Yuc",935,1.91,10681,8.75
"Zac",272,0.56,2936,9.26
"Nacional",48869,100,449961,10.86
