"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",267,1.14,1434635,18.61
"BC",1676,7.14,3634868,46.11
"BCS",339,1.44,804708,42.13
"Camp",161,0.69,1000617,16.09
"CDMX",7486,31.89,9018645,83.01
"Chih",513,2.19,3801487,13.49
"Chis",222,0.95,5730367,3.87
"Coah",450,1.92,3218720,13.98
"Col",28,0.12,785153,3.57
"Dgo",74,0.32,1868996,3.96
"EdoMex",2842,12.11,17427790,16.31
"Gro",332,1.41,3657048,9.08
"Gto",308,1.31,6228175,4.95
"Hgo",307,1.31,3086414,9.95
"Jal",419,1.79,8409693,4.98
"Mich",381,1.62,4825401,7.9
"Mor",413,1.76,2044058,20.2
"Nay",107,0.46,1288571,8.3
"NL",428,1.82,5610153,7.63
"Oax",164,0.7,4143593,3.96
"Pue",815,3.47,6604451,12.34
"Qro",165,0.7,2279637,7.24
"QRoo",900,3.83,1723259,52.23
"Sin",1125,4.79,3156674,35.64
"SLP",145,0.62,2866142,5.06
"Son",239,1.02,3074745,7.77
"Tab",1185,5.05,2572287,46.07
"Tamps",381,1.62,3650602,10.44
"Tlax",246,1.05,1380011,17.83
"Ver",673,2.87,8539862,7.88
"Yuc",584,2.49,2259098,25.85
"Zac",96,0.41,1666426,5.76
"Nacional",23471,100.01,127792286,18.37
