"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",37,0.25,1229,3.01
"10 a 19",23,0.16,2300,1
"20 a 29",189,1.29,15507,1.22
"30 a 39",787,5.37,27400,2.87
"40 a 49",2135,14.57,28568,7.47
"50 a 59",3658,24.97,24003,15.24
"60 a 69",3855,26.32,14685,26.25
"70 a 79",2639,18.01,7420,35.57
"80 y mas",1326,9.05,3189,41.58
"Nacional",14649,99.99,124301,11.79
