"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",2,0.21,73,2.74
"10 a 19",0,0,149,0
"20 a 29",15,1.55,1283,1.17
"30 a 39",55,5.67,2250,2.44
"40 a 49",189,19.48,2483,7.61
"50 a 59",241,24.85,2141,11.26
"60 a 69",228,23.51,1301,17.52
"70 a 79",175,18.04,641,27.3
"80 y mas",65,6.7,223,29.15
"Nacional",970,100.01,10544,9.2
