"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",98,0.23,3856,2.54
"10 a 19",66,0.16,8298,0.8
"20 a 29",518,1.24,52130,0.99
"30 a 39",1977,4.72,82702,2.39
"40 a 49",5432,12.96,82448,6.59
"50 a 59",9907,23.64,67594,14.66
"60 a 69",11416,27.24,42226,27.04
"70 a 79",8318,19.85,21912,37.96
"80 y mas",4176,9.96,9546,43.75
"Nacional",41908,100,370712,11.3
