"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",4004,0.98,1434635,279.1
"BC",13113,3.21,3634868,360.76
"BCS",4037,0.99,804708,501.67
"Camp",4495,1.1,1000617,449.22
"CDMX",86789,21.25,9018645,962.33
"Chih",5052,1.24,3801487,132.9
"Chis",5481,1.34,5730367,95.65
"Coah",12187,2.98,3218720,378.63
"Col",1720,0.42,785153,219.07
"Dgo",3812,0.93,1868996,203.96
"EdoMex",36696,8.98,17427790,210.56
"Gro",10188,2.49,3657048,278.59
"Gto",19637,4.81,6228175,315.29
"Hgo",6391,1.56,3086414,207.07
"Jal",12593,3.08,8409693,149.74
"Mich",9401,2.3,4825401,194.82
"Mor",3767,0.92,2044058,184.29
"Nay",3269,0.8,1288571,253.69
"NL",16219,3.97,5610153,289.1
"Oax",9995,2.45,4143593,241.22
"Pue",19556,4.79,6604451,296.1
"Qro",3617,0.89,2279637,158.67
"QRoo",7350,1.8,1723259,426.52
"Sin",12470,3.05,3156674,395.04
"SLP",8709,2.13,2866142,303.86
"Son",17342,4.25,3074745,564.01
"Tab",20767,5.08,2572287,807.34
"Tamps",14333,3.51,3650602,392.62
"Tlax",3964,0.97,1380011,287.24
"Ver",19919,4.88,8539862,233.25
"Yuc",9141,2.24,2259098,404.63
"Zac",2435,0.6,1666426,146.12
"Nacional",408449,99.99,127792286,319.62
