"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",4339,0.95,1434635,302.45
"BC",13800,3.03,3634868,379.66
"BCS",4853,1.06,804708,603.08
"Camp",4876,1.07,1000617,487.3
"CDMX",93369,20.47,9018645,1035.29
"Chih",5574,1.22,3801487,146.63
"Chis",5622,1.23,5730367,98.11
"Coah",14261,3.13,3218720,443.06
"Col",2115,0.46,785153,269.37
"Dgo",4406,0.97,1868996,235.74
"EdoMex",39705,8.71,17427790,227.83
"Gro",11475,2.52,3657048,313.78
"Gto",22554,4.94,6228175,362.13
"Hgo",7094,1.56,3086414,229.85
"Jal",14124,3.1,8409693,167.95
"Mich",10535,2.31,4825401,218.32
"Mor",4027,0.88,2044058,197.01
"Nay",3609,0.79,1288571,280.08
"NL",20515,4.5,5610153,365.68
"Oax",11053,2.42,4143593,266.75
"Pue",21701,4.76,6604451,328.58
"Qro",4132,0.91,2279637,181.26
"QRoo",8168,1.79,1723259,473.99
"Sin",13224,2.9,3156674,418.92
"SLP",11109,2.44,2866142,387.59
"Son",18531,4.06,3074745,602.68
"Tab",23454,5.14,2572287,911.8
"Tamps",17422,3.82,3650602,477.24
"Tlax",4455,0.98,1380011,322.82
"Ver",22131,4.85,8539862,259.15
"Yuc",10858,2.38,2259098,480.63
"Zac",3009,0.66,1666426,180.57
"Nacional",456100,100.01,127792286,356.91
