"Fecha","SospechososNuevos","SospechososAcum","SospechososPorcenCambio","NegativosNuevos","NegativosAcum","NegativosPorcenCambio","ConfirmadosNuevos","ConfirmadosAcum","ConfirmadosPorcenCambio","RecuperadosNuevos","RecuperadosAcum","RecuperadosPorcenCambio","FallecidosNuevos","FallecidosAcum","FallecidosPorcenCambio","EstudiadosNuevos","EstudiadosAcum","EstudiadosPorcenCambio"
"20-mar",158,606,35.27,190,1111,20.63,39,203,23.78,0,3,0,1,2,100,0,0,0
"21-mar",91,697,15.02,352,1463,31.68,48,251,23.65,0,3,0,0,2,0,0,0,0
"22-mar",96,793,13.77,204,1667,13.94,65,316,25.9,0,3,0,0,2,0,0,0,0
"23-mar",33,826,4.16,198,1865,11.88,51,367,16.14,0,3,0,2,4,100,0,0,0
"24-mar",393,1219,47.58,296,2161,15.87,38,405,10.35,0,3,0,1,5,25,0,0,0
"25-mar",437,1656,35.85,284,2445,13.14,70,475,17.28,0,3,0,1,6,20,0,0,0
"26-mar",500,2156,30.19,520,2965,21.27,110,585,23.16,0,3,0,2,8,33.33,0,0,0
"27-mar",319,2475,14.8,577,3542,19.46,132,717,22.56,0,3,0,4,12,50,0,0,0
"28-mar",148,2623,5.98,799,4341,22.56,131,848,18.27,0,3,0,4,16,33.33,0,0,0
"29-mar",-59,2564,-2.25,614,4955,14.14,145,993,17.1,0,3,0,4,20,25,0,0,0
"30-mar",188,2752,7.33,680,5635,13.72,101,1094,10.17,0,3,0,8,28,40,9481,9481,0
"31-mar",759,3511,27.58,647,6282,11.48,121,1215,11.06,0,3,0,1,29,3.57,1527,11008,16.11
"01-abr",316,3827,9,791,7073,12.59,163,1378,13.42,0,3,0,8,37,27.59,1270,12278,11.54
"02-abr",826,4653,21.58,749,7822,10.59,132,1510,9.58,0,3,0,13,50,35.14,1707,13985,13.9
"03-abr",745,5398,16.01,780,8602,9.97,178,1688,11.79,0,3,0,10,60,20,1703,15688,12.18
"04-abr",429,5827,7.95,865,9467,10.06,202,1890,11.97,0,3,0,19,79,31.67,1496,17184,9.54
"05-abr",-618,5209,-10.61,1215,10682,12.83,253,2143,13.39,0,3,0,15,94,18.99,850,18034,4.95
"06-abr",1086,6295,20.85,1059,11741,9.91,296,2439,13.81,0,3,0,31,125,32.98,2441,20475,13.54
"07-abr",1231,7526,19.56,3358,15099,28.6,346,2785,14.19,0,3,0,16,141,12.8,4935,25410,24.1
"08-abr",1662,9188,22.08,2110,17209,13.97,396,3181,14.22,0,3,0,33,174,23.4,4168,29578,16.4
"09-abr",917,10105,9.98,741,17950,4.31,260,3441,8.17,0,3,0,20,194,11.49,1918,31496,6.48
"10-abr",195,10300,1.93,1799,19749,10.02,403,3844,11.71,0,3,0,39,233,20.1,2397,33893,7.61
"11-abr",-317,9983,-3.08,1528,21277,7.74,375,4219,9.76,0,3,0,40,273,17.17,1586,35479,4.68
"12-abr",-1286,8697,-12.88,666,21943,3.13,442,4661,10.48,1840,1843,61333.33,23,296,8.42,115,35594,0.32
"13-abr",644,9341,7.4,1097,23040,5,353,5014,7.57,121,1964,6.57,36,332,12.16,1801,37395,5.06
"14-abr",1451,10792,15.53,860,23900,3.73,385,5399,7.68,161,2125,8.2,74,406,22.29,2696,40091,7.21
"15-abr",925,11717,8.57,1238,25138,5.18,448,5847,8.3,157,2282,7.39,43,449,10.59,2611,42702,6.51
"16-abr",623,12340,5.32,1373,26511,5.46,450,6297,7.7,169,2451,7.41,37,486,8.24,2446,45148,5.73
"17-abr",1024,13364,8.3,1615,28126,6.09,578,6875,9.18,176,2627,7.18,60,546,12.35,3217,48365,7.13
"18-abr",-995,12369,-7.45,-825,27301,-2.93,622,7497,9.05,0,2627,0,104,650,19.05,802,49167,1.66
"19-abr",-2230,10139,-18.03,3869,31170,14.17,764,8261,10.19,460,3087,17.51,36,686,5.54,403,49570,0.82
"20-abr",-486,9653,-4.79,1320,32490,4.23,511,8772,6.19,0,3087,0,26,712,3.79,0,49570,0
"21-abr",-1391,8262,-14.41,1381,33871,4.25,729,9501,8.31,0,3087,0,145,857,20.37,0,49570,0
