"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",187,1.05,1434635,13.03
"BC",1516,8.52,3634868,41.71
"BCS",302,1.7,804708,37.53
"Camp",121,0.68,1000617,12.09
"CDMX",5626,31.61,9018645,62.38
"Chih",326,1.83,3801487,8.58
"Chis",161,0.9,5730367,2.81
"Coah",365,2.05,3218720,11.34
"Col",25,0.14,785153,3.18
"Dgo",59,0.33,1868996,3.16
"EdoMex",2053,11.53,17427790,11.78
"Gro",260,1.46,3657048,7.11
"Gto",238,1.34,6228175,3.82
"Hgo",235,1.32,3086414,7.61
"Jal",325,1.83,8409693,3.86
"Mich",287,1.61,4825401,5.95
"Mor",261,1.47,2044058,12.77
"Nay",66,0.37,1288571,5.12
"NL",324,1.82,5610153,5.78
"Oax",128,0.72,4143593,3.09
"Pue",625,3.51,6604451,9.46
"Qro",130,0.73,2279637,5.7
"QRoo",701,3.94,1723259,40.68
"Sin",824,4.63,3156674,26.1
"SLP",98,0.55,2866142,3.42
"Son",173,0.97,3074745,5.63
"Tab",935,5.25,2572287,36.35
"Tamps",309,1.74,3650602,8.46
"Tlax",185,1.04,1380011,13.41
"Ver",486,2.73,8539862,5.69
"Yuc",401,2.25,2259098,17.75
"Zac",67,0.38,1666426,4.02
"Nacional",17799,100,127792286,13.93
