"Entidad","FrecuenciaAcum","Porcentaje","Proyeccion","TasaIncidencia"
"Ags","53","1.38","1434635","3.69"
"BC","258","6.71","3634868","7.1"
"BCS","85","2.21","804708","10.56"
"Camp","15","0.39","1000617","1.5"
"CDMX","1040","27.06","9018645","11.53"
"Chih","54","1.4","3801487","1.42"
"Chis","38","0.99","5730367","0.66"
"Coah","143","3.72","3218720","4.44"
"Col","7","0.18","785153","0.89"
"Dgo","16","0.42","1868996","0.86"
"EdoMex","470","12.23","17427790","2.7"
"Gro","54","1.4","3657048","1.48"
"Gto","78","2.03","6228175","1.25"
"Hgo","51","1.33","3086414","1.65"
"Jal","144","3.75","8409693","1.71"
"Mich","46","1.2","4825401","0.95"
"Mor","35","0.91","2044058","1.71"
"Nay","19","0.49","1288571","1.47"
"NL","110","2.86","5610153","1.96"
"Oax","41","1.07","4143593","0.99"
"Pue","214","5.57","6604451","3.24"
"Qro","55","1.43","2279637","2.41"
"QRoo","163","4.24","1723259","9.46"
"Sin","171","4.45","3156674","5.42"
"SLP","48","1.25","2866142","1.67"
"Son","55","1.43","3074745","1.79"
"Tab","134","3.49","2572287","5.21"
"Tamps","48","1.25","3650602","1.31"
"Tlax","34","0.88","1380011","2.46"
"Ver","63","1.64","8539862","0.74"
"Yuc","88","2.29","2259098","3.9"
"Zac","14","0.36","1666426","0.84"
"Nacional","3844","100.01","127792286","3.01"
