"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",1641,1.03,1434635,114.38
"BC",7364,4.61,3634868,202.59
"BCS",1037,0.65,804708,128.87
"Camp",1209,0.76,1000617,120.83
"CDMX",47098,29.47,9018645,522.23
"Chih",2401,1.5,3801487,63.16
"Chis",3358,2.1,5730367,58.6
"Coah",2374,1.49,3218720,73.76
"Col",326,0.2,785153,41.52
"Dgo",1088,0.68,1868996,58.21
"EdoMex",17130,10.72,17427790,98.29
"Gro",3678,2.3,3657048,100.57
"Gto",4108,2.57,6228175,65.96
"Hgo",2939,1.84,3086414,95.22
"Jal",4535,2.84,8409693,53.93
"Mich",4040,2.53,4825401,83.72
"Mor",1896,1.19,2044058,92.76
"Nay",1088,0.68,1288571,84.43
"NL",3257,2.04,5610153,58.06
"Oax",3391,2.12,4143593,81.84
"Pue",6374,3.99,6604451,96.51
"Qro",1662,1.04,2279637,72.91
"QRoo",2643,1.65,1723259,153.37
"Sin",6036,3.78,3156674,191.21
"SLP",1942,1.22,2866142,67.76
"Son",4042,2.53,3074745,131.46
"Tab",7374,4.61,2572287,286.67
"Tamps",3558,2.23,3650602,97.46
"Tlax",1776,1.11,1380011,128.69
"Ver",7084,4.43,8539862,82.95
"Yuc",2769,1.73,2259098,122.57
"Zac",575,0.36,1666426,34.5
"Nacional",159793,100,127792286,125.04
