"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",623,0.95,1434635,43.43
"BC",4162,6.32,3634868,114.5
"BCS",506,0.77,804708,62.88
"Camp",500,0.76,1000617,49.97
"CDMX",22675,34.43,9018645,251.42
"Chih",1172,1.78,3801487,30.83
"Chis",1021,1.55,5730367,17.82
"Coah",821,1.25,3218720,25.51
"Col",95,0.14,785153,12.1
"Dgo",214,0.32,1868996,11.45
"EdoMex",6881,10.45,17427790,39.48
"Gro",1036,1.57,3657048,28.33
"Gto",1035,1.57,6228175,16.62
"Hgo",1186,1.8,3086414,38.43
"Jal",1145,1.74,8409693,13.62
"Mich",1354,2.06,4825401,28.06
"Mor",1134,1.72,2044058,55.48
"Nay",386,0.59,1288571,29.96
"NL",1125,1.71,5610153,20.05
"Oax",951,1.44,4143593,22.95
"Pue",2036,3.09,6604451,30.83
"Qro",712,1.08,2279637,31.23
"QRoo",1568,2.38,1723259,90.99
"Sin",2448,3.72,3156674,77.55
"SLP",646,0.98,2866142,22.54
"Son",1189,1.81,3074745,38.67
"Tab",3030,4.6,2572287,117.79
"Tamps",1195,1.81,3650602,32.73
"Tlax",758,1.15,1380011,54.93
"Ver",2615,3.97,8539862,30.62
"Yuc",1415,2.15,2259098,62.64
"Zac",222,0.34,1666426,13.32
"Nacional",65856,100,127792286,51.53
