"Grupo","FrecuenciaAcum","Porcentaje","Proyeccion","TasaIncidencia"
"0 a 9","37","0.88","21849433","0.17"
"10 a 19","72","1.71","22185367","0.32"
"20 a 29","582","13.79","21479518","2.71"
"30 a 39","900","21.33","18897970","4.76"
"40 a 49","981","23.25","16198907","6.06"
"50 a 59","814","19.29","12720337","6.4"
"60 a 69","508","12.04","8199671","6.2"
"70 a 79","246","5.83","4225668","5.82"
"80 y mas","79","1.87","2035415","3.88"
"Total","4219","99.99","127792286","3.3"
