"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",1440,1.01,21849433,6.59
"10 a 19",2708,1.9,22185367,12.21
"20 a 29",18064,12.66,21479518,84.1
"30 a 39",31535,22.1,18897970,166.87
"40 a 49",32690,22.91,16198907,201.8
"50 a 59",27333,19.16,12720337,214.88
"60 a 69",16710,11.71,8199671,203.79
"70 a 79",8513,5.97,4225668,201.46
"80 y mas",3697,2.59,2035415,181.63
"Nacional",142690,100.01,127792286,111.66
