"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",826,0.91,1434635,57.58
"BC",5154,5.68,3634868,141.79
"BCS",614,0.68,804708,76.3
"Camp",684,0.75,1000617,68.36
"CDMX",30103,33.2,9018645,333.79
"Chih",1616,1.78,3801487,42.51
"Chis",1821,2.01,5730367,31.78
"Coah",1090,1.2,3218720,33.86
"Col",146,0.16,785153,18.6
"Dgo",373,0.41,1868996,19.96
"EdoMex",9855,10.87,17427790,56.55
"Gro",1826,2.01,3657048,49.93
"Gto",1650,1.82,6228175,26.49
"Hgo",1688,1.86,3086414,54.69
"Jal",1787,1.97,8409693,21.25
"Mich",1951,2.15,4825401,40.43
"Mor",1341,1.48,2044058,65.6
"Nay",555,0.61,1288571,43.07
"NL",1423,1.57,5610153,25.36
"Oax",1397,1.54,4143593,33.71
"Pue",3076,3.39,6604451,46.57
"Qro",982,1.08,2279637,43.08
"QRoo",1871,2.06,1723259,108.57
"Sin",3437,3.79,3156674,108.88
"SLP",937,1.03,2866142,32.69
"Son",1990,2.19,3074745,64.72
"Tab",4149,4.58,2572287,161.3
"Tamps",1569,1.73,3650602,42.98
"Tlax",1043,1.15,1380011,75.58
"Ver",3604,3.98,8539862,42.2
"Yuc",1819,2.01,2259098,80.52
"Zac",287,0.32,1666426,17.22
"Nacional",90664,99.97,127792286,70.95
