"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",1086,0.99,1434635,75.7
"BC",5867,5.33,3634868,161.41
"BCS",716,0.65,804708,88.98
"Camp",787,0.72,1000617,78.65
"CDMX",35685,32.43,9018645,395.68
"Chih",1804,1.64,3801487,47.46
"Chis",2219,2.02,5730367,38.72
"Coah",1357,1.23,3218720,42.16
"Col",193,0.18,785153,24.58
"Dgo",529,0.48,1868996,28.3
"EdoMex",11801,10.73,17427790,67.71
"Gro",2245,2.04,3657048,61.39
"Gto",2309,2.1,6228175,37.07
"Hgo",2101,1.91,3086414,68.07
"Jal",2474,2.25,8409693,29.42
"Mich",2356,2.14,4825401,48.82
"Mor",1475,1.34,2044058,72.16
"Nay",692,0.63,1288571,53.7
"NL",1766,1.61,5610153,31.48
"Oax",1970,1.79,4143593,47.54
"Pue",3858,3.51,6604451,58.42
"Qro",1181,1.07,2279637,51.81
"QRoo",2105,1.91,1723259,122.15
"Sin",4253,3.87,3156674,134.73
"SLP",1131,1.03,2866142,39.46
"Son",2616,2.38,3074745,85.08
"Tab",5091,4.63,2572287,197.92
"Tamps",1974,1.79,3650602,54.07
"Tlax",1232,1.12,1380011,89.27
"Ver",4755,4.32,8539862,55.68
"Yuc",2057,1.87,2259098,91.05
"Zac",341,0.31,1666426,20.46
"Nacional",110026,100.02,127792286,86.1
