"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",206,1.07,1434635,14.36
"BC",1577,8.2,3634868,43.39
"BCS",309,1.61,804708,38.4
"Camp",129,0.67,1000617,12.89
"CDMX",6113,31.8,9018645,67.78
"Chih",352,1.83,3801487,9.26
"Chis",173,0.9,5730367,3.02
"Coah",403,2.1,3218720,12.52
"Col",26,0.14,785153,3.31
"Dgo",67,0.35,1868996,3.58
"EdoMex",2258,11.75,17427790,12.96
"Gro",273,1.42,3657048,7.47
"Gto",262,1.36,6228175,4.21
"Hgo",254,1.32,3086414,8.23
"Jal",348,1.81,8409693,4.14
"Mich",323,1.68,4825401,6.69
"Mor",307,1.6,2044058,15.02
"Nay",86,0.45,1288571,6.67
"NL",346,1.8,5610153,6.17
"Oax",136,0.71,4143593,3.28
"Pue",642,3.34,6604451,9.72
"Qro",136,0.71,2279637,5.97
"QRoo",778,4.05,1723259,45.15
"Sin",869,4.52,3156674,27.53
"SLP",108,0.56,2866142,3.77
"Son",186,0.97,3074745,6.05
"Tab",977,5.08,2572287,37.98
"Tamps",316,1.64,3650602,8.66
"Tlax",199,1.04,1380011,14.42
"Ver",546,2.84,8539862,6.39
"Yuc",445,2.31,2259098,19.7
"Zac",74,0.38,1666426,4.44
"Nacional",19224,100.01,127792286,15.04
