"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",3833,1,1434635,267.18
"BC",12709,3.3,3634868,349.64
"BCS",3623,0.94,804708,450.23
"Camp",4278,1.11,1000617,427.54
"CDMX",83324,21.64,9018645,923.91
"Chih",4823,1.25,3801487,126.87
"Chis",5390,1.4,5730367,94.06
"Coah",11062,2.87,3218720,343.68
"Col",1560,0.41,785153,198.69
"Dgo",3634,0.94,1868996,194.44
"EdoMex",35056,9.1,17427790,201.15
"Gro",9670,2.51,3657048,264.42
"Gto",17539,4.56,6228175,281.61
"Hgo",5960,1.55,3086414,193.1
"Jal",11932,3.1,8409693,141.88
"Mich",8945,2.32,4825401,185.37
"Mor",3657,0.95,2044058,178.91
"Nay",3085,0.8,1288571,239.41
"NL",14785,3.84,5610153,263.54
"Oax",9504,2.47,4143593,229.37
"Pue",18743,4.87,6604451,283.79
"Qro",3426,0.89,2279637,150.29
"QRoo",6968,1.81,1723259,404.35
"Sin",12178,3.16,3156674,385.79
"SLP",7334,1.9,2866142,255.88
"Son",16447,4.27,3074745,534.91
"Tab",19485,5.06,2572287,757.5
"Tamps",13229,3.44,3650602,362.38
"Tlax",3813,0.99,1380011,276.3
"Ver",18339,4.76,8539862,214.75
"Yuc",8449,2.19,2259098,374
"Zac",2256,0.59,1666426,135.38
"Nacional",385036,99.99,127792286,301.3
