"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",1421,1.02,1434635,99.05
"BC",6860,4.93,3634868,188.73
"BCS",905,0.65,804708,112.46
"Camp",1031,0.74,1000617,103.04
"CDMX",42746,30.71,9018645,473.97
"Chih",2148,1.54,3801487,56.5
"Chis",3031,2.18,5730367,52.89
"Coah",1897,1.36,3218720,58.94
"Col",262,0.19,785153,33.37
"Dgo",845,0.61,1868996,45.21
"EdoMex",15071,10.83,17427790,86.48
"Gro",3065,2.2,3657048,83.81
"Gto",3260,2.34,6228175,52.34
"Hgo",2581,1.85,3086414,83.62
"Jal",3742,2.69,8409693,44.5
"Mich",3385,2.43,4825401,70.15
"Mor",1725,1.24,2044058,84.39
"Nay",913,0.66,1288571,70.85
"NL",2340,1.68,5610153,41.71
"Oax",2748,1.97,4143593,66.32
"Pue",5241,3.77,6604451,79.36
"Qro",1456,1.05,2279637,63.87
"QRoo",2372,1.7,1723259,137.65
"Sin",5333,3.83,3156674,168.94
"SLP",1584,1.14,2866142,55.27
"Son",3593,2.58,3074745,116.86
"Tab",6311,4.53,2572287,245.35
"Tamps",2846,2.04,3650602,77.96
"Tlax",1569,1.13,1380011,113.69
"Ver",6005,4.31,8539862,70.32
"Yuc",2417,1.74,2259098,106.99
"Zac",493,0.35,1666426,29.58
"Nacional",139196,99.99,127792286,108.92
