"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",1783,1.05,1434635,124.28
"BC",7686,4.51,3634868,211.45
"BCS",1110,0.65,804708,137.94
"Camp",1321,0.77,1000617,132.02
"CDMX",49851,29.24,9018645,552.75
"Chih",2479,1.45,3801487,65.21
"Chis",3519,2.06,5730367,61.41
"Coah",2623,1.54,3218720,81.49
"Col",356,0.21,785153,45.34
"Dgo",1242,0.73,1868996,66.45
"EdoMex",18029,10.58,17427790,103.45
"Gro",3917,2.3,3657048,107.11
"Gto",4611,2.7,6228175,74.03
"Hgo",3075,1.8,3086414,99.63
"Jal",4830,2.83,8409693,57.43
"Mich",4340,2.55,4825401,89.94
"Mor",1982,1.16,2044058,96.96
"Nay",1170,0.69,1288571,90.8
"NL",3491,2.05,5610153,62.23
"Oax",3710,2.18,4143593,89.54
"Pue",7168,4.2,6604451,108.53
"Qro",1734,1.02,2279637,76.06
"QRoo",2778,1.63,1723259,161.21
"Sin",6347,3.72,3156674,201.07
"SLP",2084,1.22,2866142,72.71
"Son",4620,2.71,3074745,150.26
"Tab",7866,4.61,2572287,305.8
"Tamps",3888,2.28,3650602,106.5
"Tlax",1838,1.08,1380011,133.19
"Ver",7422,4.35,8539862,86.91
"Yuc",2981,1.75,2259098,131.96
"Zac",634,0.37,1666426,38.05
"Nacional",170485,99.99,127792286,133.41
