"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",145,1.13,1434635,10.11
"BC",1164,9.04,3634868,32.02
"BCS",247,1.92,804708,30.69
"Camp",83,0.64,1000617,8.29
"CDMX",4118,31.99,9018645,45.66
"Chih",213,1.65,3801487,5.6
"Chis",100,0.78,5730367,1.75
"Coah",312,2.42,3218720,9.69
"Col",15,0.12,785153,1.91
"Dgo",41,0.32,1868996,2.19
"EdoMex",1445,11.23,17427790,8.29
"Gro",165,1.28,3657048,4.51
"Gto",192,1.49,6228175,3.08
"Hgo",144,1.12,3086414,4.67
"Jal",263,2.04,8409693,3.13
"Mich",179,1.39,4825401,3.71
"Mor",135,1.05,2044058,6.6
"Nay",51,0.4,1288571,3.96
"NL",270,2.1,5610153,4.81
"Oax",87,0.68,4143593,2.1
"Pue",456,3.54,6604451,6.9
"Qro",104,0.81,2279637,4.56
"QRoo",511,3.97,1723259,29.65
"Sin",692,5.38,3156674,21.92
"SLP",73,0.57,2866142,2.55
"Son",138,1.07,3074745,4.49
"Tab",644,5,2572287,25.04
"Tamps",205,1.59,3650602,5.62
"Tlax",118,0.92,1380011,8.55
"Ver",268,2.08,8539862,3.14
"Yuc",244,1.9,2259098,10.8
"Zac",50,0.39,1666426,3
"Nacional",12872,100.01,127792286,10.07
