"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",686,0.92,1434635,47.82
"BC",4484,6.01,3634868,123.36
"BCS",534,0.72,804708,66.36
"Camp",549,0.74,1000617,54.87
"CDMX",25171,33.76,9018645,279.1
"Chih",1280,1.72,3801487,33.67
"Chis",1254,1.68,5730367,21.88
"Coah",922,1.24,3218720,28.64
"Col",114,0.15,785153,14.52
"Dgo",243,0.33,1868996,13
"EdoMex",8245,11.06,17427790,47.31
"Gro",1305,1.75,3657048,35.68
"Gto",1196,1.6,6228175,19.2
"Hgo",1425,1.91,3086414,46.17
"Jal",1312,1.76,8409693,15.6
"Mich",1522,2.04,4825401,31.54
"Mor",1181,1.58,2044058,57.78
"Nay",437,0.59,1288571,33.91
"NL",1227,1.65,5610153,21.87
"Oax",1092,1.46,4143593,26.35
"Pue",2343,3.14,6604451,35.48
"Qro",788,1.06,2279637,34.57
"QRoo",1671,2.24,1723259,96.97
"Sin",2827,3.79,3156674,89.56
"SLP",742,1,2866142,25.89
"Son",1496,2.01,3074745,48.65
"Tab",3355,4.5,2572287,130.43
"Tamps",1313,1.76,3650602,35.97
"Tlax",863,1.16,1380011,62.54
"Ver",3173,4.26,8539862,37.16
"Yuc",1564,2.1,2259098,69.23
"Zac",246,0.33,1666426,14.76
"Nacional",74560,100.02,127792286,58.34
