"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",243,0.56,3833,6.34
"BC",2494,5.75,12709,19.62
"BCS",146,0.34,3623,4.03
"Camp",429,0.99,4278,10.03
"CDMX",8647,19.94,83324,10.38
"Chih",850,1.96,4823,17.62
"Chis",867,2,5390,16.09
"Coah",564,1.3,11062,5.1
"Col",175,0.4,1560,11.22
"Dgo",260,0.6,3634,7.15
"EdoMex",6108,14.08,35056,17.42
"Gro",1306,3.01,9670,13.51
"Gto",851,1.96,17539,4.85
"Hgo",959,2.21,5960,16.09
"Jal",1394,3.21,11932,11.68
"Mich",672,1.55,8945,7.51
"Mor",812,1.87,3657,22.2
"Nay",340,0.78,3085,11.02
"NL",913,2.1,14785,6.18
"Oax",853,1.97,9504,8.98
"Pue",2197,5.07,18743,11.72
"Qro",451,1.04,3426,13.16
"QRoo",905,2.09,6968,12.99
"Sin",2016,4.65,12178,16.55
"SLP",387,0.89,7334,5.28
"Son",1733,4,16447,10.54
"Tab",1817,4.19,19485,9.33
"Tamps",884,2.04,13229,6.68
"Tlax",610,1.41,3813,16
"Ver",2489,5.74,18339,13.57
"Yuc",801,1.85,8449,9.48
"Zac",201,0.46,2256,8.91
"Nacional",43374,100.01,385036,11.26
