"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",3621,1.04,21849433,16.57
"10 a 19",7698,2.2,22185367,34.7
"20 a 29",48878,13.99,21479518,227.56
"30 a 39",77933,22.31,18897970,412.39
"40 a 49",77873,22.29,16198907,480.73
"50 a 59",63844,18.27,12720337,501.9
"60 a 69",39844,11.4,8199671,485.92
"70 a 79",20657,5.91,4225668,488.85
"80 y mas",9048,2.59,2035415,444.53
"Nacional",349396,100,127792286,273.41
